Feature	Gain	Cover	Frequency
urban_x_oop	0.877937423128265	0.0351689215918981	0.0297495351635131
urban_x_oop_lag1	0.0228330734353779	0.0453349660862122	0.032046374275402
pop65_x_oop	0.0159604257510376	0.0106097468873401	0.0099529694848518
pop65_x_oop_rank	0.013069995603063	0.000682411583194873	0.000546866455211637
EN.URB.LCTY_min2	0.0116306921950864	0.00112386624373332	0.00164059936563491
SP.POP.2024.FE.5Y_rank	0.007382000644565	0.00469326543383035	0.00262495898501586
EN.GHG.N2O.FE.MT.CE.AR5	0.00469177671914103	0.00104025059519956	0.00164059936563491
TX.VAL.MRCH.R2.ZS	0.00427343990313151	0.00140887872314409	0.00207809252980422
NY.GDP.DEFL.ZS_lag1	0.00233332324087993	0.000489106589272742	0.0012031062014656
SP.POP.4044.MA.5Y	0.00144893769992228	0.00449771270742075	0.00251558569397353
SH.DTH.MORT_lag1	0.00137122673937306	0.000300297060325544	0.00043749316416931
SP.POP.2024.MA.5Y_lag1	0.0012233792177786	0.00175997453768638	0.000984359619380947
NE.CON.PRVT.PC.KD_avg2	0.00106889515962687	0.000494950693740155	0.00109373291042327
BG.GSR.NFSV.GD.ZS	0.00104478677456022	0.000533162146027088	0.00109373291042327
urban_x_oop_delta1	0.000996035501657535	0.00650448827223097	0.00634365088045499
NE.CON.PRVT.PC.KD_min2	0.000991077805694806	0.000859532903207245	0.00196871923876189
EN.GHG.N2O.FE.MT.CE.AR5_max2	0.000832799307860208	0.000334462594135037	0.00087498632833862
NE.TRD.GNFS.ZS_lag1	0.000817620049471429	0.000640603758927994	0.00142185278355026
NE.EXP.GNFS.ZS	0.000796400767909965	0.00425810442425681	0.00262495898501586
SP.POP.65UP.TO.ZS	0.000619449129513339	0.00270402218242237	0.00174997265667724
EN.GHG.N2O.BU.MT.CE.AR5	0.000609757623423932	0.00241496378453416	0.00207809252980422
TX.VAL.MRCH.RS.ZS_rank	0.0006076373388105	0.00101642463083242	0.000765613037296292
DC.DAC.TOTL.CD_isNA_rank	0.00059786223784028	0.0047980097677463	0.0031718254402275
pop65_x_oop_delta1	0.000589293367661048	0.00536353926159291	0.00349994531335448
MS.MIL.XPND.GD.ZS_min2	0.000554232206071516	0.000417628696171302	0.00087498632833862
SP.POP.3034.FE.5Y_delta1	0.000554146801588795	0.0102919175136123	0.00612490429837034
SP.POP.7074.FE.5Y_delta1	0.000541326433665324	0.0055055959548008	0.0043749316416931
EN.GHG.CH4.BU.MT.CE.AR5_min2	0.000477674699026931	0.000952589028188364	0.00109373291042327
NY.GDP.DEFL.ZS	0.000476509892390747	0.000124973926303145	0.000218746582084655
MS.MIL.XPND.GD.ZS_lag1	0.000437737147893583	0.000242305562148904	0.000656239746253965
FP.CPI.TOTL_rank	0.000429478566714797	0.000294902502355624	0.000765613037296292
SE.ENR.PRIM.FM.ZS_lag1	0.000428853673155824	0.00439701429198225	0.0031718254402275
SP.DYN.IMRT.IN	0.000412256672296142	0.0113258744578469	0.00634365088045499
EN.GHG.CH4.PI.MT.CE.AR5_tend2	0.000395494843918824	0.00689469463205518	0.00426555835065077
NE.TRD.GNFS.ZS	0.000387068625231695	0.00199868372785534	0.00142185278355026
BG.GSR.NFSV.GD.ZS_min2	0.000384175264785662	0.000444601486020902	0.00087498632833862
TX.VAL.MRCH.OR.ZS_lag1	0.000377243726103819	0.000225672341741651	0.000546866455211637
AG.LND.AGRI.K2	0.000315821490373728	0.00169523984204734	0.00153122607459258
SP.POP.4044.FE.5Y_delta1	0.000301251084287377	0.00652157103913572	0.00415618505960844
AG.LND.AGRI.K2_ratioavg2	0.000295840352544331	0.00622352171129764	0.00349994531335448
AG.LND.AGRI.ZS	0.000272500609500372	0.0019002330449043	0.00131247949250793
SP.POP.4549.FE.5Y_lag1	0.000269666033514864	0.000177570866509865	0.000546866455211637
NY.GSR.NFCY.CN_delta1	0.000261080509332921	0.00786301778765581	0.00514054467898939
SP.RUR.TOTL.ZS_delta1	0.000260232752530534	0.00133020808608276	0.00196871923876189
SP.POP.4549.MA.5Y_lag1	0.000259186997499446	0.0048987081831848	0.00284370556710051
SH.DYN.MORT	0.000249139759474326	0.00314817412194578	0.00218746582084655
IS.AIR.GOOD.MT.K1_tend2	0.00021336360876214	0.00554920196505765	0.00328119873126982
SP.POP.5054.MA.5Y	0.000198599118830601	0.00285506980558013	0.00174997265667724
MS.MIL.XPND.GD.ZS_avg2	0.000194541122934183	0.00132211624912788	0.00109373291042327
TX.VAL.MRCH.R6.ZS_delta1	0.000193138550123355	0.000571373598314021	0.00142185278355026
SE.TER.ENRR_lag1	0.000184339704502783	0.00211781354969107	0.00153122607459258
TX.VAL.MRCH.R3.ZS_rank	0.000180417972498452	0.00117106862597012	0.0012031062014656
SP.DYN.CDRT.IN_rank	0.000172354094468848	0.000185662703464745	0.000328119873126982
TX.VAL.MRCH.HI.ZS_lag1	0.000170238461757418	0.00132840990009279	0.00142185278355026
SP.POP.2529.MA.5Y_lag1	0.000169742712448081	0.00307130167087442	0.00207809252980422
BM.TRF.PWKR.CD.DT_avg2	0.000166904630714955	0.000442803300030929	0.00109373291042327
SP.POP.5054.MA.5Y_lag1	0.000165777706433776	0.00218794280330003	0.00142185278355026
SP.POP.5559.FE.5Y_lag1	0.000165623414856176	0.00733300246711118	0.00459367822377775
TX.VAL.MRCH.RS.ZS	0.00016310515426608	0.0006131814225809	0.00043749316416931
DT.ODA.ODAT.PC.ZS_isNA_rank	0.000162032298895351	0.00124704198404649	0.00087498632833862
SP.POP.3539.MA.5Y_rank	0.000161056310215744	0.000442353753533435	0.00043749316416931
SP.POP.5054.FE.5Y_delta1	0.000157121230981425	0.00217760323385768	0.00164059936563491
SH.DYN.NMRT	0.000156695408095782	0.00121602327571945	0.000984359619380947
TX.VAL.MRCH.R3.ZS_delta1	0.000153619541448827	0.00280561969085586	0.00262495898501586
BM.GSR.INSF.ZS_isNA_rank	0.000152715556515833	0.00550199958282085	0.00360931860439681
SP.POP.0004.MA.5Y_lag1	0.000151705553586597	0.00499221385466342	0.00306245214918517
DC.DAC.JPNL.CD_min2	0.000151496343380635	0.000833459206352631	0.00087498632833862
SP.POP.5054.MA.5Y_delta1	0.000150867491922309	0.00125243654201641	0.000765613037296292
FP.CPI.TOTL_max2	0.00015082567653888	0.000217580504786771	0.00043749316416931
NE.CON.TOTL.KD_isNA_rank	0.000147359427257594	0.00433722460781564	0.00251558569397353
SP.POP.4549.MA.5Y	0.00014662800870001	0.000552492645419301	0.00142185278355026
NE.CON.PRVT.ZS_max2	0.00014331500449926	0.00218479597781758	0.00142185278355026
FS.AST.PRVT.GD.ZS_max2	0.000143076165033421	0.000434261916578556	0.000328119873126982
AG.YLD.CREL.KG_min2	0.000142138906818075	0.00391689863265937	0.00229683911188888
SP.DYN.AMRT.MA_lag1	0.000141779220241854	0.00642401944917967	0.00382806518648146
NE.CON.PRVT.KD.ZG_isNA_rank	0.000141186273983018	0.00367369397751548	0.00229683911188888
FM.LBL.BMNY.GD.ZS	0.000137366837981417	0.00130368484273065	0.00131247949250793
NE.EXP.GNFS.CN	0.000137044874885495	0.000323673478195197	0.000546866455211637
NE.EXP.GNFS.ZS_lag1	0.000136389887410611	0.00124074833308159	0.000984359619380947
BX.TRF.CURR.CD	0.000134956097613487	0.000213085039811838	0.000546866455211637
FS.AST.CGOV.GD.ZS_lag1	0.000134644525617914	0.000883808414071884	0.00131247949250793
SP.DYN.AMRT.MA_rank	0.000131220563362801	0.00240057829661438	0.00142185278355026
SH.DYN.MORT_lag1	0.000127661398413174	0.00450175862589819	0.00284370556710051
TX.VAL.TRVL.ZS.WT_lag1	0.000125964003695747	0.00094539628422847	0.000656239746253965
DC.DAC.JPNL.CD_lag1	0.000123357157936709	0.000542602622474448	0.00109373291042327
FS.AST.CGOV.GD.ZS_min2	0.000123116603004491	0.000739953534874019	0.000984359619380947
SH.MMR.DTHS_lag1	0.000116543366112749	0.00330416675657597	0.00218746582084655
TX.VAL.FUEL.ZS.UN_delta1	0.000115801822592838	0.00235022908889512	0.00207809252980422
BM.GSR.TOTL.CD_isNA_rank	0.000111721466235963	0.00329112990814866	0.00262495898501586
FS.AST.CGOV.GD.ZS_avg2	0.000110850803448881	0.000541253982981968	0.000765613037296292
NE.CON.PRVT.PC.KD	0.000107701329917627	0.0006266678175057	0.000984359619380947
SM.POP.NETM_delta1	0.000107516822860703	0.0050470585273576	0.00339057202231215
TM.VAL.MRCH.WL.CD_delta1	0.000107191880060192	0.00142101647857641	0.0012031062014656
SH.IMM.MEAS_rank	0.00010552804265576	0.00060913550410346	0.00087498632833862
year	0.000104269671605155	0.00298903466183314	0.00218746582084655
AG.LND.AGRI.ZS_max2	0.0001037231536642	0.000582612260751354	0.000656239746253965
NY.GDP.FRST.RT.ZS_isNA_rank	9.96749882247702e-05	0.00363053751375612	0.00251558569397353
SP.POP.0014.MA.ZS_rank	9.87675947112585e-05	0.00332439634896317	0.00185934594771957
SP.URB.GROW	9.83419041582017e-05	0.00298678692934568	0.00218746582084655
SP.DYN.LE00.FE.IN_rank	9.72203017713089e-05	0.000883358867574391	0.000546866455211637
SE.SEC.ENRL.GC_delta1	9.54641185126822e-05	0.000899092994986657	0.000656239746253965
TX.VAL.MRCH.RS.ZS_lag1	9.37851414185477e-05	0.000145203518690345	0.000109373291042327
NE.IMP.GNFS.ZS	9.37766034186803e-05	0.00032277438520021	0.000656239746253965
NE.CON.PRVT.KD.ZG	9.09605043811871e-05	0.000212185946816851	0.000546866455211637
SP.POP.0004.FE.5Y_rank	9.01913945612209e-05	0.00117331635845759	0.000656239746253965
EN.GHG.CH4.BU.MT.CE.AR5_ratioavg2	8.70693589567731e-05	0.00357344510857447	0.00251558569397353
DT.ODA.ODAT.GN.ZS_max2	8.61493205989462e-05	0.00029040703738069	0.000218746582084655
BX.GSR.TRAN.ZS_tend2	8.58895073647036e-05	0.00367773989599292	0.0024062124029312
SP.POP.7074.MA.5Y_rank	8.51293231153686e-05	0.000802890044523085	0.000984359619380947
SE.PRM.ENRL.FE.ZS_rank	8.50210544888687e-05	0.000225222795244158	0.00043749316416931
SE.TER.ENRR_delta1	8.49967964829226e-05	0.00145293427989844	0.00164059936563491
AG.LND.TOTL.K2_tend2	8.47695112142717e-05	0.0046564026210359	0.00284370556710051
AG.SRF.TOTL.K2_ratioavg2	8.41755730303957e-05	0.00234663271691518	0.00131247949250793
NV.IND.TOTL.CN_isNA_rank	8.40926156383395e-05	0.00407513899977702	0.00273433227605819
ER.FSH.AQUA.MT	8.39848613037947e-05	0.000712081652029433	0.00043749316416931
NY.ADJ.AEDU.GN.ZS_delta1	8.34136951797056e-05	0.00225267749893907	0.00142185278355026
BM.TRF.PWKR.CD.DT_lag1	8.32230703289151e-05	0.000866725647167138	0.000546866455211637
SP.POP.0014.TO.ZS_delta1	8.22600870733185e-05	0.000234663271691518	0.000656239746253965
SP.POP.80UP.FE.5Y_lag1	8.165862133259e-05	5.43951261966928e-05	0.000109373291042327
NV.SRV.TOTL.KD_isNA_rank	7.94728793585964e-05	0.00355501370217724	0.00229683911188888
EN.GHG.N2O.MT.CE.AR5_ratioavg2	7.91640439118535e-05	0.0033558646037877	0.00251558569397353
EG.ELC.PETR.ZS_ratioavg2	7.91208265039738e-05	0.00253679088535485	0.00164059936563491
IT.CEL.SETS.P2	7.82848385691467e-05	0.00124029878658409	0.00164059936563491
NY.GDP.DEFL.ZS_isNA_rank	7.82742988284463e-05	0.00261276424343123	0.00153122607459258
EN.URB.MCTY.TL.ZS	7.77078623781213e-05	0.00357254601557948	0.0024062124029312
EN.URB.MCTY.TL.ZS_max2	7.71827536164583e-05	0.000473822008357969	0.000546866455211637
TM.VAL.MRCH.OR.ZS_rank	7.49921200652235e-05	0.00203779427313726	0.00164059936563491
NY.GNP.PCAP.CD	7.44883263963258e-05	0.000276471095958397	0.00043749316416931
EN.GHG.CH4.BU.MT.CE.AR5_rank	7.34533477216049e-05	0.000905386645951564	0.0012031062014656
SH.DYN.MORT.MA_lag1	7.27376617966705e-05	0.0105238835063188	0.00645302417149732
SM.POP.RHCR.EO_lag1	7.26520386823723e-05	0.000550694459429328	0.000765613037296292
NY.GDP.TOTL.RT.ZS_lag1	7.0680994962185e-05	0.00242035834250408	0.00164059936563491
TX.VAL.OTHR.ZS.WT_isNA_rank	7.04663817939938e-05	0.00269008624100008	0.00185934594771957
SE.SEC.ENRR_isNA_rank	6.98818009669117e-05	0.00223289745304936	0.00164059936563491
SP.POP.0004.FE.5Y_lag1	6.93718883859753e-05	0.00303084248610002	0.00185934594771957
