Feature	Gain	Cover	Frequency
urban_x_oop	0.889084962454389	0.0372168954323351	0.0318215069495245
urban_x_oop_lag1	0.0174733287467504	0.0411229015185426	0.028895391367959
EN.URB.LCTY_min2	0.0135396023246884	0.00143240284825482	0.0021945866861741
pop65_x_oop	0.0113347296260481	0.0101133358661185	0.00950987564008778
pop65_x_oop_rank	0.00836160186218493	0.000540160317776766	0.000365764447695684
SP.POP.2024.FE.5Y_rank	0.00725652415309488	0.00458158263963859	0.00256035113386979
urban_x_oop_rank	0.00399151873872213	0.00458158263963859	0.00384052670080468
EN.GHG.N2O.FE.MT.CE.AR5	0.00398210333344766	0.00104571426421965	0.00164594001463058
NY.GDP.DEFL.ZS_lag1	0.00271442743632008	0.000593574499618202	0.00128017556693489
TX.VAL.MRCH.R2.ZS	0.00262446473350536	0.000690622801837147	0.00128017556693489
EN.URB.LCTY_avg2	0.00158303532690542	0.000128645423871625	0.000182882223847842
SP.POP.2024.MA.5Y_lag1	0.00157544645608274	0.00397597114129556	0.00256035113386979
urban_x_oop_delta1	0.00155100630789288	0.00537075836853529	0.00475493782004389
SH.DTH.MORT_lag1	0.00142471208684123	0.000933619713594662	0.00091441111923921
NE.CON.PRVT.PC.KD_avg2	0.00137744136394822	0.000492012322877445	0.00128017556693489
SP.POP.4044.MA.5Y	0.00126361801212547	0.00511196289595143	0.00292611558156547
BG.GSR.NFSV.GD.ZS	0.000961699184990325	0.00153697427467679	0.00164594001463058
NE.TRD.GNFS.ZS_lag1	0.000953447705015496	0.000631942433053599	0.00146305779078274
MS.MIL.XPND.GD.ZS_avg2	0.000886142826409462	0.00247736480005417	0.00256035113386979
EN.GHG.N2O.FE.MT.CE.AR5_max2	0.000808464816691452	0.000358853024484008	0.00091441111923921
TX.VAL.MRCH.RS.ZS_rank	0.000732709502478736	0.00132858373425316	0.00109729334308705
NE.EXP.GNFS.ZS	0.000577560998244526	0.00378337916169827	0.00237746891002195
EN.GHG.CH4.PI.MT.CE.AR5_tend2	0.000548173213117353	0.00843868841852645	0.00512070226773958
DC.DAC.TOTL.CD_isNA_rank	0.000539315221485151	0.0048636997972518	0.003474762253109
NY.GDP.DEFL.ZS	0.000498029515413558	0.000571757439429446	0.00091441111923921
SP.POP.4549.MA.5Y_lag1	0.000484004600069334	0.00895778398853476	0.00512070226773958
MS.MIL.XPND.GD.ZS_max2	0.000466849475510828	0.000261804722265062	0.000731528895391368
SP.POP.3034.FE.5Y_delta1	0.000456736335384685	0.00858915090258683	0.00493782004389173
SE.ENR.PRIM.FM.ZS_lag1	0.000431299132978591	0.00245855698954662	0.00164594001463058
FP.CPI.TOTL_rank	0.000422007302172953	0.000427313454731481	0.00109729334308705
EN.GHG.CH4.BU.MT.CE.AR5_min2	0.000405427812132619	0.000909545716145001	0.00091441111923921
SP.POP.65UP.TO.ZS	0.00039417295978111	0.00186122092782691	0.00128017556693489
NE.CON.PRVT.PC.KD_min2	0.00039063991151347	0.00110289000816259	0.00201170446232626
DT.ODA.ODAT.GN.ZS_max2	0.000385185014869987	0.000971987647030059	0.000731528895391368
SP.POP.7074.FE.5Y_delta1	0.000380554396594033	0.00282719007549455	0.00237746891002195
NY.GSR.NFCY.CN_delta1	0.000305940881727905	0.0100117736893777	0.00676664228237015
EN.GHG.N2O.BU.MT.CE.AR5	0.000295581052298881	0.00119692906070033	0.00091441111923921
IS.AIR.GOOD.MT.K1_tend2	0.000292237411815527	0.00687237395945788	0.00384052670080468
SH.MMR.DTHS_lag1	0.000289279407424809	0.00769314681000726	0.00438917337234821
TX.VAL.MRCH.R6.ZS_delta1	0.000254684797510481	0.000721467611069525	0.00128017556693489
NY.GDP.TOTL.RT.ZS_lag1	0.000250797488038226	0.00918723927672684	0.00585223116313094
FS.AST.PRVT.GD.ZS_max2	0.000232526137289974	0.00105624663810387	0.000731528895391368
AG.LND.AGRI.K2	0.000231233661800746	0.00133234529635467	0.00128017556693489
SP.POP.5054.MA.5Y_lag1	0.000228090358961642	0.00372545110533502	0.00256035113386979
SP.POP.4044.FE.5Y_delta1	0.000224501802806477	0.00343054463657668	0.00201170446232626
SP.POP.5054.MA.5Y_delta1	0.000224284464813053	0.00179652205968094	0.00109729334308705
NE.TRD.GNFS.ZS	0.000204028083661319	0.00178674199821702	0.00109729334308705
AG.LND.AGRI.K2_ratioavg2	0.000199516307233641	0.00461844594823338	0.00274323335771763
FP.CPI.TOTL_max2	0.000189570969429721	0.000258043160163553	0.000548646671543526
SH.DYN.NMRT	0.000178362132016804	0.0013827502285149	0.00109729334308705
BM.GSR.TOTL.CD_isNA_rank	0.000175340499177327	0.00571757439429446	0.00384052670080468
AG.LND.AGRI.ZS	0.000174699676047965	0.00141886122468939	0.00091441111923921
AG.YLD.CREL.KG_min2	0.000174474120080095	0.00632920439199991	0.00365764447695684
BG.GSR.NFSV.GD.ZS_max2	0.000174231035336645	6.54511805662656e-05	0.000182882223847842
TX.VAL.MRCH.RS.ZS	0.000171534627770912	0.00100734633078425	0.00091441111923921
TX.VAL.MRCH.R3.ZS_delta1	0.000171515878847339	0.00373899272890046	0.00256035113386979
SH.DYN.MORT	0.000168258670498214	0.0029648632484098	0.0021945866861741
AG.PRD.CROP.XD_max2	0.000157394347287509	0.000530380256312842	0.00091441111923921
AG.LND.AGRI.ZS_min2	0.000151090038038203	0.000823782100230584	0.000731528895391368
TX.VAL.TRAN.ZS.WT_delta1	0.000150868630830811	0.005337656622042	0.00310899780541331
SE.SEC.ENRL.GC_delta1	0.000149704636198497	0.00199061866411884	0.00164594001463058
TX.VAL.FOOD.ZS.UN_delta1	0.000144986635059636	0.00298743262101886	0.00274323335771763
SP.POP.0004.MA.5Y	0.000144555484831159	0.00238934424687884	0.00146305779078274
SE.TER.ENRR_lag1	0.000143432562772476	0.00159565464346034	0.00164594001463058
EG.ELC.NUCL.ZS_lag1	0.000142145471440338	0.0016212332657506	0.00109729334308705
SE.ENR.PRIM.FM.ZS	0.000139455075671812	0.000246006161438722	0.000548646671543526
TX.VAL.TRVL.ZS.WT	0.000139420153810214	0.00105248507600236	0.00091441111923921
SP.DYN.LE00.MA.IN	0.000136453022786087	0.00523609444530125	0.00292611558156547
SH.DYN.MORT_lag1	0.000132890968074851	0.00402186219893397	0.00256035113386979
NE.IMP.GNFS.KD_delta1	0.000131225859557908	0.000788423416476394	0.00182882223847842
DC.DAC.JPNL.CD_min2	0.000130326877711681	0.000767358668707941	0.000731528895391368
NV.IND.TOTL.CN_isNA_rank	0.000129606360362694	0.00406850556899269	0.00274323335771763
SP.RUR.TOTL.ZS_delta1	0.000124693892045271	0.000981015396073681	0.00201170446232626
SP.URB.GROW	0.000123464450071213	0.00404292694670243	0.00256035113386979
NE.CON.PRVT.PC.KD	0.000123109537519433	0.000517590945167709	0.00109729334308705
SP.DYN.LE00.FE.IN_rank	0.000122796630742918	0.00118263512471459	0.000731528895391368
SE.TER.ENRR	0.000122594145631466	0.00733805534762476	0.00475493782004389
BM.TRF.PWKR.CD.DT_avg2	0.000115804826884403	0.000221179851568759	0.000548646671543526
SP.POP.4044.FE.5Y_lag1	0.000115276050165982	0.000282117157613214	0.00091441111923921
SP.DYN.CDRT.IN_rank	0.000115013620170662	9.10298028565303e-05	0.000182882223847842
EG.ELC.PETR.ZS_avg2	0.000113529665122971	6.31942433053599e-05	0.000182882223847842
SP.POP.7074.MA.5Y_rank	0.000111832130678488	0.000687613552155939	0.00109729334308705
TM.VAL.MRCH.WL.CD_delta1	0.000109628095279627	0.00139854878934124	0.00128017556693489
NY.GDP.PCAP.KD_delta1	0.000108812458048487	0.00381347165851035	0.00237746891002195
TX.VAL.MRCH.HI.ZS_lag1	0.000106598594399409	0.000823782100230584	0.00091441111923921
EN.GHG.CH4.BU.MT.CE.AR5_tend2	0.00010528625991242	0.00574164839174412	0.00420629114850037
DT.ODA.ODAT.PC.ZS_isNA_rank	0.000103736765297849	0.00104044807727753	0.000731528895391368
FP.CPI.TOTL.ZG_avg2	0.000103011363734853	0.00262782728411455	0.00182882223847842
SM.POP.RHCR.EO	0.00010277852476461	0.0030446083649618	0.0021945866861741
SP.POP.7074.MA.5Y_delta1	0.000101670623205476	0.000981015396073681	0.00091441111923921
SP.POP.2529.FE.5Y_lag1	0.000100373254827389	0.00251422810864896	0.00164594001463058
NE.EXP.GNFS.CN	9.79819456392764e-05	0.000169270294567928	0.000365764447695684
NE.CON.PRVT.ZS_max2	9.56329431709784e-05	0.00110439463300319	0.000731528895391368
SP.POP.5054.FE.5Y_delta1	9.48680389867989e-05	0.00291370600382927	0.0021945866861741
BX.PEF.TOTL.CD.WD_lag1	9.44333252466205e-05	0.00359981493114461	0.00201170446232626
BX.GSR.TRVL.ZS_max2	9.39019455201626e-05	0.00142036584952999	0.00109729334308705
SP.POP.7074.MA.5Y	9.37329846936812e-05	0.000619905434328768	0.00091441111923921
AG.LND.AGRI.ZS_max2	9.31826013349086e-05	0.000458158263963859	0.000365764447695684
EN.GHG.N2O.MT.CE.AR5_ratioavg2	9.27513194026123e-05	0.00412492900051533	0.00274323335771763
AG.SRF.TOTL.K2_ratioavg2	9.10015633898905e-05	0.00327255902831328	0.00182882223847842
EG.ELC.PETR.ZS_ratioavg2	8.91347379726554e-05	0.00312736273119501	0.00237746891002195
SP.POP.4044.MA.5Y_delta1	8.51007742748615e-05	0.00325224659296513	0.00329188002926116
SE.PRM.ENRL.FE.ZS_rank	8.25238876725054e-05	0.000176041106350645	0.000365764447695684
SP.POP.6064.MA.5Y_delta1	8.18666658546244e-05	0.00362464124101457	0.00274323335771763
TX.VAL.FUEL.ZS.UN_delta1	8.02834267533673e-05	0.00219449533002065	0.00164594001463058
FS.AST.CGOV.GD.ZS_min2	7.9666531643361e-05	0.000412267206325443	0.000548646671543526
EG.ELC.HYRO.ZS_max2	7.82717036985577e-05	0.00327255902831328	0.00182882223847842
SP.POP.5054.MA.5Y	7.73972526685481e-05	0.000585299062994881	0.000365764447695684
BX.TRF.CURR.CD_min2	7.71124288398476e-05	0.000157233295843098	0.000365764447695684
EN.GHG.CH4.BU.MT.CE.AR5_rank	7.70595310841949e-05	0.000949418274421002	0.00109729334308705
SP.POP.0004.MA.5Y_lag1	7.57062096809541e-05	0.00178523737337642	0.00109729334308705
NY.GDP.PCAP.CD	7.53802132713703e-05	0.000385936271614876	0.000548646671543526
TX.VAL.MRCH.R6.ZS	7.48390034911923e-05	0.000427313454731481	0.00091441111923921
NE.CON.PRVT.ZS	7.47313151072052e-05	0.00297690024713463	0.00182882223847842
SP.POP.7579.MA.5Y_delta1	7.26293614220362e-05	0.00302203899235274	0.00182882223847842
EG.ELC.FOSL.ZS	7.13870285008339e-05	0.000157233295843098	0.000365764447695684
SM.POP.RHCR.EO_lag1	7.10275578234322e-05	0.000473956824790199	0.000548646671543526
TX.VAL.MRCH.OR.ZS_lag1	7.06287069105668e-05	7.07173675083789e-05	0.000182882223847842
TM.VAL.MRCH.OR.ZS_lag1	7.00719469119231e-05	0.00107204519893021	0.000731528895391368
SH.DYN.MORT.FE	6.82292428104996e-05	0.00203350047207604	0.00146305779078274
NV.SRV.TOTL.KD_isNA_rank	6.69224117733127e-05	0.00329738533818324	0.0021945866861741
AG.LND.TOTL.K2_ratioavg2	6.69143119764124e-05	0.00350803281586777	0.00201170446232626
FS.AST.CGOV.GD.ZS_avg2	6.67407905474985e-05	0.000248263098699628	0.000365764447695684
NE.EXP.GNFS.CN_delta1	6.63963253088922e-05	0.00110439463300319	0.00128017556693489
EN.GHG.CH4.BU.MT.CE.AR5_ratioavg2	6.62743550395268e-05	0.00398123732823767	0.00310899780541331
SH.MMR.RISK.ZS	6.61874657954162e-05	0.00357574093369494	0.0021945866861741
ER.FSH.PROD.MT_tend2	6.61765620561885e-05	0.0022945528819208	0.00146305779078274
BX.TRF.CURR.CD	6.595248250809e-05	0.000877196282072019	0.00109729334308705
DT.ODA.ODAT.KD_isNA_rank	6.39667135580684e-05	0.00612006153915598	0.00365764447695684
NE.CON.PRVT.ZS_avg2	6.33322717877436e-05	0.00198159091507521	0.00128017556693489
EN.URB.MCTY.TL.ZS_avg2	6.29943719391331e-05	0.000355091462382498	0.000365764447695684
TX.VAL.MRCH.R3.ZS_rank	6.2142984443319e-05	0.000871177782709604	0.00091441111923921
SM.POP.NETM_lag1	6.19162041252934e-05	0.00148130315557445	0.00091441111923921
BM.GSR.INSF.ZS_min2	6.18570977677888e-05	0.000389697833716386	0.000548646671543526
SH.IMM.MEAS_rank	6.18193400422343e-05	0.000750807795461299	0.00091441111923921
EN.GHG.CH4.BU.MT.CE.AR5_avg2	6.11146257778764e-05	0.000182811918133362	0.000182882223847842
TM.VAL.MRCH.R1.ZS_delta1	6.07454836287814e-05	0.00085011303494115	0.00164594001463058
EN.GHG.N2O.PI.MT.CE.AR5_max2	6.04605891809115e-05	0.000513077070645898	0.000365764447695684
SP.POP.7074.MA.5Y_lag1	5.97834798158152e-05	0.000403991769702122	0.000365764447695684
SP.POP.1564.FE.ZS_lag1	5.87426800570158e-05	0.000591317562357296	0.000365764447695684
AG.LND.TOTL.K2_tend2	5.78808965441645e-05	0.0053760245554774	0.00329188002926116
TX.VAL.MRCH.HI.ZS	5.72279827481079e-05	0.00135641929380433	0.00201170446232626
SP.DYN.TO65.MA.ZS_lag1	5.71011550121865e-05	0.00152644190079256	0.00109729334308705
NE.CON.TOTL.KD_isNA_rank	5.70073813368801e-05	0.00170624456924472	0.00109729334308705
EN.GHG.N2O.BU.MT.CE.AR5_max2	5.62222957396856e-05	0.000242996911757515	0.000182882223847842
FM.LBL.BMNY.GD.ZS_min2	5.59450068026236e-05	0.000379165459832159	0.000365764447695684
YearsSinceFirst_rank	5.50685955300739e-05	0.002609019473607	0.00164594001463058
DC.DAC.GBRL.CD_max2	5.46775993571146e-05	0.000437093516195406	0.000548646671543526
IT.CEL.SETS.P2	5.433131846732e-05	0.00149258784187898	0.00182882223847842
SE.SEC.ENRR.MA	5.33926181686823e-05	0.00026481397194627	0.000548646671543526
year	5.33007205724383e-05	0.00117962587503338	0.00091441111923921
SP.POP.2529.MA.5Y_lag1	5.2954384013012e-05	0.00274142645958013	0.00201170446232626
SH.DYN.MORT.MA_lag1	5.27958835059676e-05	0.00775935030299383	0.00475493782004389
TM.VAL.MRCH.HI.ZS_rank	5.18330825987397e-05	0.000198610478959702	0.000365764447695684
FS.AST.CGOV.GD.ZS_lag1	5.11437573316944e-05	0.000603354561082126	0.00091441111923921
NY.ADJ.AEDU.GN.ZS_delta1	5.10561918280293e-05	0.00232690231599379	0.00146305779078274
FI.RES.TOTL.CD	5.08440546175133e-05	0.000215161352206344	0.000548646671543526
NY.GSR.NFCY.CD	5.07765951644807e-05	0.000416028768426952	0.000365764447695684
SP.DYN.IMRT.FE.IN	4.97829573602167e-05	0.00117360737567097	0.00091441111923921
SP.DYN.CBRT.IN_lag1	4.9191513189659e-05	0.0012255169326718	0.00109729334308705
DC.DAC.FRAL.CD_rank	4.91510130749621e-05	0.000725229173171034	0.000731528895391368
SP.URB.TOTL.IN.ZS_delta1	4.90696674987727e-05	0.000385936271614876	0.000365764447695684
SP.POP.2024.FE.5Y_lag1	4.79185546127319e-05	0.000566491252487333	0.00091441111923921
SM.POP.RHCR.EA_delta1	4.72573081364265e-05	0.00032800821525163	0.00091441111923921
NE.IMP.GNFS.ZS	4.68694531819136e-05	0.000160242545524305	0.000365764447695684
FS.AST.CGOV.GD.ZS_rank	4.65495232637741e-05	0.000141434735016758	0.000182882223847842
NY.GNP.PCAP.CD	4.57698465136272e-05	0.000543921879878276	0.000548646671543526
BX.GSR.TRVL.ZS_min2	4.56724971199094e-05	0.000598088374140013	0.000365764447695684
SP.POP.5559.FE.5Y_lag1	4.48127459386225e-05	0.00417533393267556	0.00256035113386979
NE.CON.PRVT.KD_ratioavg2	4.45776347348336e-05	6.54511805662656e-05	0.000182882223847842
SP.DYN.TO65.MA.ZS	4.44893109843636e-05	0.00207939152971446	0.00128017556693489
