Feature	Gain	Cover	Frequency
urban_x_oop	0.878939705664794	0.0363541340640262	0.0308713214079631
urban_x_oop_lag1	0.022350280827101	0.0438557432811494	0.0307270628967109
pop65_x_oop	0.0177734953210627	0.0118993486361516	0.0111079053664166
pop65_x_oop_rank	0.0106078467590912	0.000679119152931728	0.000577034045008656
EN.URB.LCTY_min2	0.0100429518645713	0.00104879618748413	0.0015868436237738
SP.POP.2024.FE.5Y_rank	0.00614459657738885	0.00436703142254794	0.00245239469128679
TX.VAL.MRCH.R2.ZS	0.00475500677999349	0.00156787943568151	0.00259665320253895
EN.GHG.N2O.FE.MT.CE.AR5	0.00436675025918543	0.00101336388385291	0.0015868436237738
NY.GDP.DEFL.ZS_lag1	0.00303228745708748	0.000690929920808801	0.0015868436237738
SH.DTH.MORT_lag1	0.00179687970214825	0.000460029408812014	0.000577034045008656
EN.URB.LCTY_avg2	0.00166734506234731	0.000157083212765078	0.000288517022504328
SP.POP.4044.MA.5Y	0.00157564671861785	0.00513768402652698	0.00288517022504328
SP.POP.2024.MA.5Y_lag1	0.00138833730269381	0.00214188275450728	0.00144258511252164
NE.CON.PRVT.PC.KD_avg2	0.00114884677122985	0.00056868847328109	0.00129832660126948
BG.GSR.NFSV.GD.ZS	0.00105945746577201	0.000429911950725476	0.00115406809001731
NE.CON.PRVT.PC.KD_min2	0.00097919202145763	0.000726952762833876	0.00173110213502597
urban_x_oop_delta1	0.00097584729139974	0.00693764505099299	0.00605885747259088
EN.GHG.N2O.FE.MT.CE.AR5_max2	0.000823361341577768	0.000329520423770351	0.000865551067512983
SH.DTH.MORT	0.000794244270119796	0.000625970697484897	0.000577034045008656
NE.EXP.GNFS.ZS	0.000759378399082325	0.0038066104867808	0.00216387766878246
NE.TRD.GNFS.ZS_lag1	0.00067006959267639	0.000657859770752996	0.00129832660126948
BG.GSR.NFSV.GD.ZS_min2	0.000621385102668865	0.000230309973602934	0.000721292556260819
TX.VAL.MRCH.RS.ZS_rank	0.000606817678905688	0.00114446340728842	0.000865551067512983
SP.POP.3034.FE.5Y_delta1	0.000580960444268673	0.0101171037635012	0.00605885747259088
pop65_x_oop_delta1	0.000565356091839867	0.00383790902165504	0.00245239469128679
SP.POP.65UP.TO.ZS	0.00052465249235935	0.00242770333713246	0.0015868436237738
SP.POP.7074.FE.5Y_delta1	0.000504480520120016	0.00482883244654151	0.00389497980380842
FP.CPI.TOTL_rank	0.000454978033776667	0.000259836893295618	0.000721292556260819
MS.MIL.XPND.GD.ZS_min2	0.00044371527928406	0.00064900169484519	0.00100980957876515
SE.ENR.PRIM.FM.ZS_lag1	0.000434471454140347	0.00399440169602627	0.00259665320253895
MS.MIL.XPND.GD.ZS_lag1	0.000430777613042307	0.000198420900334835	0.000577034045008656
