Feature	Gain	Cover	Frequency
urban_x_oop	0.895678556694086	0.0339587947754858	0.0295178008111762
urban_x_oop_lag1	0.0186854294740714	0.0355592724537067	0.0256872465074358
pop65_x_oop	0.0146382024286848	0.00948874187663996	0.00901306894997747
EN.URB.LCTY_min2	0.0143269890665067	0.00134210050598102	0.00202794051374493
SP.POP.2024.FE.5Y_rank	0.00726218423893948	0.00436867409599945	0.0024785939612438
EN.GHG.N2O.FE.MT.CE.AR5	0.00454234688343409	0.00102346576000321	0.00157728706624606
NY.GDP.DEFL.ZS_lag1	0.00315192242719621	0.00054962211197318	0.00157728706624606
TX.VAL.MRCH.R2.ZS	0.00267639111824403	0.000810738264837515	0.00112663361874718
SP.POP.2024.MA.5Y_lag1	0.00172571815960507	0.00292797028753819	0.00202794051374493
NE.CON.PRVT.PC.KD_avg2	0.00151136168547679	0.000512189376772349	0.00135196034249662
urban_x_oop_rank	0.00149907997614426	0.0034474636126424	0.00270392068499324
BG.GSR.NFSV.GD.ZS	0.00146803021613979	0.000430019958038817	0.00112663361874718
urban_x_oop_delta1	0.00138081890725293	0.00435406619933571	0.0042812077512393
SP.POP.4044.MA.5Y	0.00135907890407815	0.00436867409599945	0.0024785939612438
MS.MIL.XPND.GD.ZS_avg2	0.000921001198216331	0.00179951027026435	0.00202794051374493
NE.TRD.GNFS.ZS_lag1	0.000888626010402552	0.000578837905300658	0.00135196034249662
EN.GHG.N2O.FE.MT.CE.AR5_max2	0.00079134074745111	0.000301287868689617	0.00067598017124831
FP.CPI.TOTL_rank	0.000682554160056722	0.00060896669216962	0.00157728706624606
TX.VAL.MRCH.RS.ZS_rank	0.000680261196862323	0.00178033740589319	0.00157728706624606
NE.EXP.GNFS.ZS	0.000642599058145913	0.00343285571597867	0.00202794051374493
DC.DAC.TOTL.CD_isNA_rank	0.000513492651773133	0.00500868256857951	0.00360522757999099
EN.GHG.CH4.PI.MT.CE.AR5_tend2	0.000511479072374439	0.00834110899499497	0.00518251464623704
DT.ODA.ODAT.GN.ZS_max2	0.000502781583773924	0.00117958765559692	0.000901306894997747
SP.POP.3034.FE.5Y_delta1	0.000482255689136033	0.00790743706279022	0.00450653447498873
SP.POP.7074.FE.5Y_delta1	0.00046920886960471	0.00293527423587006	0.0024785939612438
SP.POP.65UP.TO.ZS	0.000454815179299563	0.00143522584721236	0.000901306894997747
SE.ENR.PRIM.FM.ZS_lag1	0.000441314097716898	0.00307496224771706	0.00202794051374493
MS.MIL.XPND.GD.ZS_max2	0.000439058534626816	0.000238291314327242	0.00067598017124831
SP.POP.4549.MA.5Y_lag1	0.000425762235369628	0.00775314115427948	0.00473186119873817
SH.MMR.DTHS_lag1	0.00039481136925839	0.00926688444605943	0.00540784136998648
NE.CON.PRVT.PC.KD_min2	0.000369694591380636	0.000697527065693537	0.00135196034249662
TX.VAL.MRCH.R3.ZS_delta1	0.000312221478874533	0.00355154487637154	0.0024785939612438
NY.GSR.NFCY.CN_delta1	0.000312087534419671	0.00899116039653135	0.00608382154123479
AG.LND.AGRI.K2	0.000302342127260149	0.00157400086551788	0.00157728706624606
FS.AST.PRVT.GD.ZS_max2	0.000290454272704203	0.00126814802912084	0.00112663361874718
TX.VAL.MRCH.R6.ZS_delta1	0.000282795596143029	0.000514015363855316	0.000901306894997747
SP.RUR.TOTL.ZS_delta1	0.000277728859656036	0.00153200316260963	0.00315457413249211
AG.LND.AGRI.K2_ratioavg2	0.00024558802948339	0.00473113253196847	0.00270392068499324
SP.POP.5054.MA.5Y_delta1	0.000244884569430514	0.00181685714755254	0.00112663361874718
